Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets
T’CHALLA🍫 🇦🇴;Preto_Carter;2022-09-14 00:49:25+00:00;Luva de pedreiro muito arisco, forrou o estômago, fez o dote, conheceu o mundao e agora vai voltar pra paz e cheio de dote na conta;0;2;0
Caio;TabascoBoi;2022-09-14 00:49:21+00:00;@millylacombe @agsportlight O seu texto hoje sobre a questão do Luva de Pedreiro foi sensacional! @millylacombe;0;0;0
Abraão;lamegoy;2022-09-14 00:49:11+00:00;queria ser o próximo luva de pedreiro 😔;0;0;0
gabriela;redbprivacy;2022-09-14 00:49:01+00:00;tudo que eu sei sobre esse luva de pedreiro é contra a minha vontade;0;1;0
xd;xd_allow;2022-09-14 00:48:06+00:00;Crl o luva de pedreiro aposentou;0;0;0
rubim;gabrieIrubim;2022-09-14 00:47:36+00:00;@cmartins10_ fazer igual o luva de pedreiro pprt;0;0;0
Lucas Kalango | Marketing;lucaskalango;2022-09-14 00:47:34+00:00;"Luva de Pedreiro parou a carreira e desativou seu perfil nas redes sociais No vídeo ele diz: ""Fala, minha tropa! Galera, eu não fui hackeado não. Eu apaguei os vídeos mesmo, eu parei, galera. Viver minha vida normal aí, sossegado, daquele https://t.co/nXqqmL2NLN";0;0;0
lucax;_menezeslucas10;2022-09-14 00:47:24+00:00;Como assim vc não conhece o luva de pedreiro, vai viver;0;0;0
back to westeros;duducadu7;2022-09-14 00:47:22+00:00;Luva de pedreiro viu que pra ser famoso teria que no mínimo saber ler e desistiu.;0;1;0
Ricardo Ribeirinha;ricribeirinha;2022-09-14 00:46:50+00:00;@luvadepedreiro é uma nítida realidade do crescimento repentino desacompanhado do fortalecimento socioemocional. É o mesmo de querer fazer uma galinha de granja se tornar águia de uma hora p outra. Sem desmerecer a galinha ou mesmo a águia, mas nem um @Falcao12oficial deu conta!;0;0;0
DANDÔ;4ndersonsouza;2022-09-14 00:46:09+00:00;Luva de Pedreiro tá passando a coroa pro Bill 🤣;0;0;0
cervejetariana 🍻;arievilosd;2022-09-14 00:45:54+00:00;Esse luva de pedreiro kkkkkkkkkkkkkk;0;0;0
Shane Vidal;shanevidal_real;2022-09-14 00:45:20+00:00;Foda o Luva de pedreiro parar por que sofreu uma pressão enorme de um otário aproveitador. O mulek poderia ficar ainda maior espero que ele repense.;0;0;0
M🅰️verick COLOR🅰️DO🇦🇹🇦🇹;CGraffitti;2022-09-14 00:45:18+00:00;Cara, qual é o problema do luva de pedreiro?? Ele tem que ter algum probleminha, pq não é normal fazer oq ele fez;0;0;0
Concaína Maluco;Concamaluco;2022-09-14 00:44:08+00:00;Não julgo o Luva de Pedreiro, trabalhar é deprimente, melhor coisa é fazer uma grana e ficar em casa;0;2;0
João Araújo 🦑 #VamosJuntosPeloBrasil;JOAOARAUJ0;2022-09-14 00:43:40+00:00;Luva de Pedreiro surgiu, explodiu, ficou rico, ficou pobre, ficou rico novamente, bombou mais ainda, rescindiu com empresário, assinou com outro empresário, veio morar em Pernambuco, aposentou... E eu nunca entendi o que ele faz/fazia.;0;12;0
Danillo Miguel;R9iscomingD;2022-09-14 00:43:13+00:00;Quem liga pra “luva de pedreiro”, gente? Foda-se;0;2;0
Cleiton Wagner;CleitonCw;2022-09-14 00:42:52+00:00;@woxigomes @JoaquinTeixeira @luvadepedreiro Eu sei. Inclusive aquela morena, Renata, lembra? É de lá. Rsrsrs;0;0;0
• Ileno Júnior •;Ileno10;2022-09-14 00:42:51+00:00;@luvadepedreiro  me diz que é marketing;0;0;0
Talitinha, viu?;RiotintoTalita;2022-09-14 00:41:48+00:00;Esse luva de pedreiro já tá maior abestalhado;0;0;0
jemi;poanjao;2022-09-14 00:41:38+00:00;Luva de pedreiro e demi lovato deve ta aprontando alguma coisa juntos, os dois dizendo que vai encerrar a carreira no msm dia hmm;0;0;0
Ma_Campelo;Ma_Campelo;2022-09-14 00:40:08+00:00;o @luvadepedreiro fazendo o correto depois de ficar rico e falando que vai parar de trabalhar;0;3;0
Presidente da Achuberguis;tobainhas;2022-09-14 00:40:01+00:00;"Luva de Pedreiro - 13
Ana Maria Braga - 15
Xaropinho - 22
Andre Marques - 30
Luciano Huck - 30
Toguro - 21
Manoel Caneta Azul - 13
Rei Charles III - 22
Rogério Flausino - 13
Tite - 22 https://t.co/IG7MofjPmR";0;1;1
Israel Mugica;Israell_Mugica;2022-09-14 00:39:39+00:00;luva de pedreiro meteu o significado da frase  o negócio é vender fora tudo;0;0;0
MunRex;victordias___;2022-09-14 00:39:18+00:00;Luva de pedreiro não quer ficar rico né kkkkk;0;0;0
𝑀𝑜𝑎🤴🏾#BaileDaRoma 🇲🇰;Mlqmoa09;2022-09-14 00:39:18+00:00;Como diz: O luva de pedreiro, Eu sou inesquecível kkk 😅😜;0;0;0
Guga Football;GugaFootball;2022-09-14 00:39:18+00:00;"Luva de Pedreiro decidiu não gravar mais vídeos porque alegou que está cansado da fama e quer voltar a ser apenas Iran Ferreira.

Falcão, empresário de Luva, inicialmente apoiou a decisão, mas haverá um trabalho para que o influenciador repense a ideia.

🗞 ge https://t.co/6FWHWrqmG1";0;0;0
Willian Machado;W2lmachado;2022-09-14 00:38:54+00:00;Eu entendo o luva de pedreiro, deve ser brabao ficar chutando a bola e gritando receba, viajar pra vários paises, virar amigo de varios famosos etc. Não é moleza como pegar o brt lotado as 7hr da manhã pra tabalhar de segunda a segunda ganhando menos que um salário mínimo.;0;0;0
