Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets
Lucas Félix;lucasfelix;2022-11-22 01:21:50+00:00;"@JorgeSantaanaa Pior que tem coisa que não foi pela grana, como a ausência do Tite na bancada no dia da convocação. É uma falta de cultura interna mesmo. 

Já vinham esvaziando esse peso do JN nas tragédias, deixando de estar em várias ""viáveis"" pré-pandemia (Brumadinho, Ninho, Suzano...).";0;0;0
BDSM Club™ na Copa🐆🇧🇷;notfergo;2022-11-22 01:21:40+00:00;Gostaria de ver essa formação, mas duvido MUITO q o Tite comece assim https://t.co/F7THrlVSNd;0;0;0
eu mesmo🍥;eumesmo2024;2022-11-22 01:21:18+00:00;@choquei Eu como flamenguista não gostei do fato do tite não ter convocado o gabigol mas sim o neymar então nessa copa estarei torcendo pela Argentina. Vai Argentina!!!;0;5;0
acorda pedrinhodez ⭐⭐⭐⭐⭐🌟;Pedroissoai;2022-11-22 01:21:13+00:00;o tite vai num 4-2-4 e foda-se meu irmao;0;0;0
RULER Fanboy ◤✠◢ 🇧🇷⭐⭐⭐⭐⭐⭐🇧🇷;Wanders94514784;2022-11-22 01:21:04+00:00;@futebol_info @geglobo Sei lá mané, por mim era o Bruno Guimarães no lugar do Paquetá. O time continuaria bem ofensivo e não perderia tanto na marcação no meio. Mas o Tite sabe oq faz, os dois laterais são defensivos tbm. É aguardar;0;1;0
predestinado;dvdconquista;2022-11-22 01:21:01+00:00;aí sim Tite filho da puta, a seleção assim já pode entregar o hexa https://t.co/D6rVLCJEPH;0;0;0
Lucas;Lucas31437179;2022-11-22 01:20:49+00:00;@euChrisPaes @mundodabola @geglobo quem e corinthiano e conhece um tite um pouco sabe disso a mais facil o raphinha sair do que o fred.;0;0;0
suco de fruta;zanolixo;2022-11-22 01:20:45+00:00;ai o tite olha pro banco e tem Antony, Martinelli, Rorygo, Fabinho, Bruno Guimarães,alex telles, PEDRO. Se o Hexa já não é realidade eu tô ficando maluco https://t.co/viqafWbxjL;0;0;0
🇺🇾;caiofrinds;2022-11-22 01:20:44+00:00;@GxldeViniJr__ Militao é zagueiro, tite só utilizará de lateral caso seja muito preciso, Danilo sempre foi o titular, também acho que militao merecia ser titular, mas Thiago Silva e Marquinhos estão desde o início da ciclo, e tomamos só 9 gols em 4 anos, então não temos do que reclamar;0;0;0
ؘ;rubrnsz;2022-11-22 01:20:37+00:00;se for isso mesmo eu passo a semana sem criticar o tite;0;0;0
Mikas;mikaleus;2022-11-22 01:20:20+00:00;@luvaszc @Lopeszoy @oocbrsao Juntinho com o veinho do Tite 🤤;0;1;0
A G A D E ᶜʳᶠ;hudsonoliver14;2022-11-22 01:20:14+00:00;E o certo a ser feito, mas vindo do tite eu não duvido nada dele vir com Fred e deixar vini no banco.. https://t.co/k588AEaj3R;0;0;0
Player Extreme;PlayerExtreme9;2022-11-22 01:20:08+00:00;@Felipedeix10 @victalves @anrdreee @futebol_info @geglobo Fred só é convocado por que o tite gosta dele, igual o Tayson na ultima copa, jogou bem alguns jogos ,mas não foi nada de mais;0;0;0
ₐٯₐₚₑₑₛᵢᶜʳᶠ🦇;ooHs2k;2022-11-22 01:20:01+00:00;@futebol_info @geglobo Ai amanhã o Tite treina com o Vini Jr na reserva e Fred como titular kkkkkkkkkk;0;0;0
Tomate Revoltado 🍅 🦉 #LULA13 {Perfil Parodia};Tomate9856;2022-11-22 01:19:47+00:00;@JooMart36183387 Cê tá quase o tite;0;0;0
Matheus Fernandes;matheuzinhocfc;2022-11-22 01:19:42+00:00;É isso aí Tite! Entrar com força máxima. Pra cima Brasil! Palpite: 3x1 na estreia 🇧🇷🇧🇷🇧🇷 https://t.co/ouGkEY8Y1X;0;0;0
Lucas;Lucas31437179;2022-11-22 01:19:40+00:00;@davidevangel97 @mundodabola @geglobo pois e kkkkkk ate parece que esse povo nao conhece o tite.;0;0;0
TETRA DA CDB e TRI DA LIBERTA ᶜʳᶠ;Antonio__Neto1;2022-11-22 01:19:31+00:00;Se for isso tá certo, eu só botaria o Antony no lugar do Raphinha mas o Tite tem mais confiança no Raphinha então dá pra entender https://t.co/Qbk0YFwTZQ;0;0;0
liriel comentarista oficial da copa;doyulogic;2022-11-22 01:19:15+00:00;não mas sério vai ser 4-3-3 ou um 4-2-1-3? TITE ME DE LUZ;0;0;0
MíTRico;MiticoFla;2022-11-22 01:19:05+00:00;@Dida_CRF nao se engane. tite nao gosta dele. vai colocar pra ficar marcando lateral para ter desculpa q nao ta bem e sacar do time depois de 3 jogos.;0;2;0
Sassá Mutema;cadillacdinoss2;2022-11-22 01:18:43+00:00;@Conservador_BRZ @TNTSportsBR So que secou a seleção 2002 e Ronaldo isso nunca vai ele assumir ,isso existe muito aqui jogadores que foram campeoes em outras copa secam a geração atual e não assume exemplo Vampeta,edilson,zinho entre outros isso envolve ate felipão pirraça com Tite.;0;0;0
Clodomiro Ojea;ClodomiroOjea;2022-11-22 01:18:41+00:00;TITE SO' EM MARÇO! CERTEZA!!! https://t.co/BicO3pc3IE;0;0;0
Mango Loco Jr.;CAPlVARAMAN;2022-11-22 01:18:41+00:00;@tite ainda da tempo me liga chego no Catar em 15min https://t.co/iMiDifWGoO;0;0;0
Marcos Vinicius Jerê;marcosjere38;2022-11-22 01:18:32+00:00;"Tô surpreso com Tite iniciando a Copa do Mundo com 4 atacantes

Sem dúvidas é um Tite diferente de 2018 https://t.co/jVhi0vtROS";0;0;0
Vinicius🇧🇷;Viniciusdsccp;2022-11-22 01:18:30+00:00;@Selecaoinfo O tite vai fazer a música minha mãe mandou pra escolher quem vai entrar kkkk;0;0;0
pedro;opedroooooooo;2022-11-22 01:18:18+00:00;@futebol_info @geglobo dúvida pra quem? se o tite não colocar o vini de titular na copa, o hexa não vem. a seleção é neymar e vini + 9;0;0;0
Timao🌎bimundial🌎🚩;ptimao888;2022-11-22 01:18:11+00:00;@PauloPe79396510 Eu não acredito nesta hipótese e se eu acreditasse eu passaria a achar o Tite o maior canalha do universo!;0;1;0
Detroit Lions Tricolor ᶠᵉᶜ;Megatron1918;2022-11-22 01:17:48+00:00;Se Tite meter essa na quinta eu vou defender ele com todas as forças https://t.co/8X6uUjCXOd;0;0;0
